ANNEE,NB_LIV_TOT
1900,23620
1901,22189
1902,21903
1903,21613
1904,22022
1905,21385
1906,20709
1907,20032
1908,20428
1909,21119
1910,21860
1911,20750
1912,21462
1913,21155
1914,15278
1915,8655
1916,9559
1917,10216
1918,9565
1919,12782
1920,14838
1921,16094
1922,17798
1923,18262
1924,18343
1925,21130
1926,22590
1927,23112
1928,24472
1929,23990
1930,25794
1931,24704
1932,24463
1933,25059
1934,24355
1935,23202
1936,22624
1937,22969
1938,22730
1939,20317
1940,9784
1941,13578
1942,15476
1943,15208
1944,12399
1945,16385
1946,21342
1947,20406
1948,19848
1949,19253
1950,20216
1951,19653
1952,21078
1953,20711
1954,22751
1955,22262
1956,21421
1957,22073
1958,22873
1959,20542
1960,19497
1961,19390
1962,19762
1963,20496
1964,21888
1965,21314
1966,21869
1967,22831
1968,20498
1969,18850
1970,18630
1971,19963
1972,21474
1973,23428
1974,24794
1975,29726
1976,31760
1977,37019
1978,39168
1979,40909
1980,41336
1981,39824
1982,38702
1983,39710
1984,40855
1985,40221
1986,42281
1987,45127
1988,46122
1989,47252
1990,45587
1991,47075
1992,49627
1993,51169
1994,50532
1995,51826
1996,54160
1997,57192
1998,58847
1999,59548
2000,59077
2001,60402
2002,60100
2003,60356
2004,64588
2005,67724
2006,69164
2007,72194
2008,73788
2009,72496
2010,76155
2011,77450
2012,78158
